order_id,order_date,product,category,region,quantity,unit_price
ORD-1001,2025-01-05,Analytics Suite,Software,North,2,1200
ORD-1002,2025-01-17,Workflow Pro,Software,South,1,850
ORD-1003,2025-02-03,Data Workshop,Services,East,3,450
ORD-1004,2025-02-14,Analytics Suite,Software,West,1,1200
ORD-1005,2025-02-27,Support Plan,Services,North,2,300
ORD-1006,2025-03-08,Workflow Pro,Software,East,2,850
ORD-1007,2025-03-19,Data Workshop,Services,South,4,450
ORD-1008,2025-03-29,Support Plan,Services,West,3,300
ORD-1009,2025-04-04,Analytics Suite,Software,South,2,1200
ORD-1010,2025-04-21,Workflow Pro,Software,North,3,850
ORD-1011,2025-05-09,Data Workshop,Services,West,2,450
ORD-1012,2025-05-18,Support Plan,Services,East,5,300
ORD-1013,2025-06-06,Analytics Suite,Software,East,1,1200
ORD-1014,2025-06-23,Workflow Pro,Software,West,2,850
ORD-1015,2025-06-28,Support Plan,Services,South,1,300
